sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device,lat_cell,lon_cell,distance
2,LTE,LTE,432,11,44220,23527171,339,35.728559,51.3009034,-59,0,3.4,1.71775E+12,1.5,24.5,1278,30,Samsung_SM-A305FN,35.72905268,51.29689081,366.3406524
2,LTE,LTE,432,11,44220,23527171,339,35.7286943,51.3009095,-86,0,5.4,1.71775E+12,1.4,8.1,1278,30,Samsung_SM-A305FN,35.72905268,51.29689081,364.9370398
2,LTE,LTE,432,11,44220,23527171,339,35.7287417,51.3009412,-85,0,4.4,1.71775E+12,1.6,32.4,1278,30,Samsung_SM-A305FN,35.72905268,51.29689081,367.2476998
2,LTE,LTE,432,11,44220,23527171,339,35.7287873,51.3009765,-83,0,5.8,1.71775E+12,1.5,54.5,1279,30,Samsung_SM-A305FN,35.72905268,51.29689081,369.9810901
2,LTE,LTE,432,11,44220,23527171,339,35.7288002,51.3010553,-86,0,3.2,1.71775E+12,1.7,74.6,1278,30,Samsung_SM-A305FN,35.72905268,51.29689081,376.9623074
2,LTE,LTE,432,11,44220,23489025,466,35.7288293,51.3011226,-79,0,3.8,1.71775E+12,1.4,42.4,1278,30,Samsung_SM-A305FN,35.72939307,51.29893513,207.1674409
2,LTE,LTE,432,11,44220,23489025,466,35.7288862,51.3011523,-84,0,3,1.71775E+12,1.2,19.3,1278,30,Samsung_SM-A305FN,35.72939307,51.29893513,207.9206568
2,LTE,LTE,432,11,44220,23489025,466,35.7289371,51.3011732,-87,0,3.1,1.71775E+12,1.3,15.6,1278,30,Samsung_SM-A305FN,35.72939307,51.29893513,208.2875678
2,LTE,LTE,432,11,44220,23489025,466,35.7290081,51.3011802,-88,0,5.3,1.71775E+12,1.4,3.6,1278,30,Samsung_SM-A305FN,35.72939307,51.29893513,207.1259335
2,LTE,LTE,432,11,44220,23489025,466,35.7290565,51.3011914,-91,0,4.4,1.71775E+12,1.3,16.2,1279,30,Samsung_SM-A305FN,35.72939307,51.29893513,207.0751474
2,LTE,LTE,432,11,44220,23489025,466,35.7291235,51.3011948,-94,0,6.9,1.71775E+12,1.4,13,1279,30,Samsung_SM-A305FN,35.72939307,51.29893513,206.1626612
2,LTE,LTE,432,11,44220,23489025,466,35.729169,51.3012282,-89,0,7.4,1.71775E+12,1.2,18.3,1280,30,Samsung_SM-A305FN,35.72939307,51.29893513,208.4809621
2,LTE,LTE,432,11,44220,23489025,466,35.7292189,51.301279,-94,0,4.4,1.71775E+12,1.3,63.3,1280,30,Samsung_SM-A305FN,35.72939307,51.29893513,212.4567976
2,LTE,LTE,432,11,44220,23489025,466,35.7292208,51.3013335,-97,0,3,1.71775E+12,1.2,75.8,1282,30,Samsung_SM-A305FN,35.72939307,51.29893513,217.3376068
2,LTE,LTE,432,11,44220,23489025,466,35.7291937,51.301405,-97,0,3.2,1.71775E+12,1.2,104.3,1283,30,Samsung_SM-A305FN,35.72939307,51.29893513,224.0453321
2,LTE,LTE,432,11,44220,23489025,466,35.7291633,51.3014657,-93,0,3,1.71775E+12,1.2,109.3,1283,30,Samsung_SM-A305FN,35.72939307,51.29893513,229.8494731
2,LTE,LTE,432,11,44220,23489025,466,35.7291407,51.3015257,-99,0,3.1,1.71775E+12,1.1,109,1283,30,Samsung_SM-A305FN,35.72939307,51.29893513,235.5188808
2,LTE,LTE,432,11,44220,23489025,466,35.7291178,51.3015863,-97,0,3,1.71775E+12,1.1,114.6,1283,30,Samsung_SM-A305FN,35.72939307,51.29893513,241.2608156
2,LTE,LTE,432,11,44220,23489025,466,35.7291077,51.3016505,-99,0,3.1,1.71775E+12,1.1,105.3,1283,30,Samsung_SM-A305FN,35.72939307,51.29893513,247.1518643
2,LTE,LTE,432,11,44220,23527169,341,35.7291046,51.3017196,-91,0,3,1.71775E+12,1.2,104.1,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,106.4716191
2,LTE,LTE,432,11,44220,23527169,341,35.7291116,51.3017984,-91,0,3,1.71775E+12,1.2,87.5,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,101.5797041
2,LTE,LTE,432,11,44220,23527169,341,35.7291235,51.3018678,-93,0,3.1,1.71775E+12,1.1,81.3,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,96.96700815
2,LTE,LTE,432,11,44220,23527169,341,35.7291182,51.3019363,-93,0,3,1.71775E+12,1.1,93.1,1287,30,Samsung_SM-A305FN,35.72985597,51.30245076,94.2679305
2,LTE,LTE,432,11,44220,23527169,341,35.7291193,51.301997,-95,0,3.1,1.71775E+12,1.1,74.3,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,91.58338865
2,LTE,LTE,432,11,44220,23527169,341,35.7291204,51.3020781,-95,0,3,1.71775E+12,1.2,82.1,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,88.43863783
2,LTE,LTE,432,11,44220,23527169,341,35.7291191,51.3021675,-94,0,3,1.71775E+12,1.2,86.1,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,85.83274544
2,LTE,LTE,432,11,44220,23527169,341,35.7291271,51.3022339,-97,0,3,1.71775E+12,1.1,61.7,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,83.37675992
2,LTE,LTE,432,11,44220,23527169,341,35.7291149,51.3022932,-97,0,3,1.71775E+12,1.1,84.9,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,83.62123937
2,LTE,LTE,432,11,44220,23527169,341,35.7290846,51.3023571,-97,0,3,1.71775E+12,1.1,115.6,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,86.18776199
2,LTE,LTE,432,11,44220,23527169,341,35.7290585,51.3024229,-90,0,3,1.71775E+12,1.1,113.2,1287,30,Samsung_SM-A305FN,35.72985597,51.30245076,88.70991171
2,LTE,LTE,432,11,44220,23527169,341,35.7290381,51.3024971,-83,0,3,1.71775E+12,1.2,111.1,1288,30,Samsung_SM-A305FN,35.72985597,51.30245076,91.0387434
2,LTE,LTE,432,11,44220,23527169,341,35.7290474,51.3025781,-84,0,3,1.71775E+12,1.1,93.1,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,90.64029296
2,LTE,LTE,432,11,44220,23527169,341,35.7290995,51.3026338,-88,0,3,1.71775E+12,1.1,34.6,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,85.72252634
2,LTE,LTE,432,11,44220,23527169,341,35.7290885,51.302684,-86,0,3,1.71775E+12,1.2,113.4,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,87.8970134
2,LTE,LTE,432,11,44220,23527169,341,35.7290758,51.3027453,-90,0,3,1.71775E+12,1.2,112.7,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,90.73321595
2,LTE,LTE,432,11,44220,23527169,341,35.7290573,51.302821,-96,0,3,1.71775E+12,1.2,113.7,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,94.88781845
2,LTE,LTE,432,11,44220,23527169,341,35.7290459,51.3028892,-96,0,3,1.71775E+12,1.2,103.5,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,98.38613547
2,LTE,LTE,432,11,44220,23527169,341,35.7290234,51.3029499,-96,0,3,1.71775E+12,1.2,116.8,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,102.9587203
2,LTE,LTE,432,11,44220,23527169,341,35.7290171,51.3030213,-92,0,3,1.71775E+12,1.2,112.1,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,106.5504827
2,LTE,LTE,432,11,44220,23527169,341,35.7289969,51.3030959,-96,0,3.1,1.71775E+12,1.2,102.9,1285,30,Samsung_SM-A305FN,35.72985597,51.30245076,111.8749953
2,LTE,LTE,432,11,44220,23527169,341,35.7289616,51.3031515,-97,0,3.1,1.71775E+12,1.2,121.3,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,117.8602511
2,LTE,LTE,432,11,44220,23527169,341,35.7289203,51.3032098,-97,0,3.3,1.71775E+12,1.3,129.1,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,124.5751528
2,LTE,LTE,432,11,44220,23527169,341,35.7289129,51.3032838,-93,0,3.2,1.71775E+12,1.2,109.2,1287,30,Samsung_SM-A305FN,35.72985597,51.30245076,129.0379903
2,LTE,LTE,432,11,44220,23527169,341,35.7289012,51.3033534,-92,0,3.2,1.71775E+12,1.1,106.6,1287,30,Samsung_SM-A305FN,35.72985597,51.30245076,133.8269866
2,LTE,LTE,432,11,44220,23527169,341,35.7289113,51.3034205,-93,0,3,1.71775E+12,1.2,96.2,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,136.7338566
2,LTE,LTE,432,11,44220,23527169,341,35.7289058,51.3034778,-92,0,3.3,1.71775E+12,1.1,96.7,1287,30,Samsung_SM-A305FN,35.72985597,51.30245076,140.5604853
2,LTE,LTE,432,11,44220,23527169,341,35.7289039,51.3035567,-91,0,3.3,1.71775E+12,1.2,103.1,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,145.5100785
2,LTE,LTE,432,11,44220,23527169,341,35.7288917,51.3036448,-88,0,3.1,1.71775E+12,1.2,130.1,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,152.0305137
2,LTE,LTE,432,11,44220,23527169,341,35.7288698,51.3037125,-92,0,3,1.71775E+12,1.2,103.3,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,158.1014213
2,LTE,LTE,432,11,44220,23527169,341,35.7288756,51.3038093,-96,0,3,1.71775E+12,1.2,92.3,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,164.0783813
2,LTE,LTE,432,11,44220,23527169,341,35.7288746,51.3039026,-98,0,3,1.71775E+12,1.2,99.5,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,170.535772
2,LTE,LTE,432,11,44220,23527169,341,35.7288631,51.3039847,-100,0,3,1.71775E+12,1.2,98.1,1286,30,Samsung_SM-A305FN,35.72985597,51.30245076,177.0889673
